bueno bueno I 0.548077
oye oír VMIP3S0 0.795001
. . Fp 1
jeje jeje NCMS000 0.833445
. . Fp 1
pero pero CC 0.999764
te te PP2CS000 0.940613
sale salir VMIP3S0 0.814516
la el DA0FS0 0.972269
ropa ropa NCFS000 1
genial genial AQ0CS0 1
, , Fc 1
y y CC 0.999962
tiene tener VMIP3S0 1
un uno DI0MS0 0.987295
monton monton NCMS000 0.0665581
de de SPS00 0.999984
posibilidades posibilidad NCFP000 1
. . Fp 1

la el DA0FS0 0.972269
media medio AQ0FS0 0.747368
carga carga NCFS000 0.952569
no no RN 0.998134
hace hacer VMIP3S0 1
falta falta NCFS000 0.705607
que que PR0CN000 0.562517
lo lo PP3CNA00 0.271177
pongas poner VMSP2S0 1
, , Fc 1
tu tu DP2CSS 1
calculas calcular VMIP2S0 1
segun segun RG 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
que que PR0CN000 0.562517
pones poner VMIP2S0 1
el el DA0MS0 1
jabon jabon NCMS000 0.0665581
que que PR0CN000 0.562517
necesita necesitar VMIP3S0 0.98913
y y CC 0.999962
el el DA0MS0 1
agua agua NCCS000 0.99177
lo lo PP3CNA00 0.271177
calcula calcular VMIP3S0 0.994868
ella él PP3FS000 1
segun segun RG 1
el el DA0MS0 1
peso peso NCMS000 0.991071
que que PR0CN000 0.562517
tenga tener VMSP1S0 0.458647
de de SPS00 0.999984
ropa ropa NCFS000 1
. . Fp 1

ademas adema NCFP000 0.973483
la lo PP3FSA00 0.0277039
puedes poder VMIP2S0 1
programas programa NCMP000 0.97619
para para SPS00 0.999103
que que CS 0.437483
se se P00CN000 0.465639
encienda encender VMSP3S0 0.46901
cuando cuando CS 0.985595
tu tu DP2CSS 1
quieras querer VMSP2S0 1
. . Fp 1

tiene tener VMIP3S0 1
ahorro ahorro NCMS000 0.973453
de de SPS00 0.999984
tiempo tiempo NCMS000 1
tambien tambien RG 0.911112
. . Fp 1

y y CC 0.999962
una uno DI0FS0 0.951575
cosa cosa NCFS000 0.991279
que que PR0CN000 0.562517
me me PP1CS000 0.89124
va ir VMIP3S0 1
genial genial AQ0CS0 1
es ser VSIP3S0 1
el el DA0MS0 1
lavado lavado NCMS000 0.308275
de de SPS00 0.999984
ropa ropa NCFS000 1
delicada delicado AQ0FS0 1
, , Fc 1
imaginad imaginar VMM02P0 1
os os PP2CP000 1
que que CS 0.437483
he haber VAIP1S0 0.993808
puesto poner VMP00SM 0.549505
hasta hasta SPS00 0.957698
un uno DI0MS0 0.987295
traje traje NCMS000 0.973497
caro caro AQ0MS0 1
y y CC 0.999962
me me PP1CS000 0.89124
ha haber VAIP3S0 0.999255
salido salir VMP00SM 1
genial genial AQ0CS0 1
, , Fc 1
ya ya RG 0.999395
no no RN 0.998134
he haber VAIP1S0 0.993808
ido ir VMP00SM 1
mas mas CC 0.699537
a a SPS00 0.996023
la el DA0FS0 0.972269
tintoreria tintoreria NCFS000 0.933145
, , Fc 1
ademas adema NCFP000 0.973483
he haber VAIP1S0 0.993808
estado estar VAP00SM 0.334254
mirando mirar VMG0000 1
el el DA0MS0 1
proceso proceso NCMS000 0.994505
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
porque porque CS 1
me me PP1CS000 0.89124
daba dar VMII3S0 0.649997
miedo miedo NCMS000 1
, , Fc 1
y y CC 0.999962
va ir VMIP3S0 1
con con SPS00 1
una uno DI0FS0 0.951575
delicadeza delicadeza NCFS000 1
increible increible AQ0CS0 1
. . Fp 1
va ir VMIP3S0 1
estupendamente estupendamente RG 1
. . Fp 1

es ser VSIP3S0 1
de de SPS00 0.999984
color color NCMS000 1
blanco blanco AQ0MS0 0.598684
, , Fc 1
este este DD0MS0 0.960092
electrodomestico electrodomestico NCMS000 0.499754
si si CS 0.99954
que que CS 0.437483
lo lo PP3CNA00 0.271177
cogi cogi VMIS1S0 0.0691906
de de SPS00 0.999984
color color NCMS000 1
blanco blanco AQ0MS0 0.598684
porque porque CS 1
como como CS 0.999289
tengo tener VMIP1S0 1
el el DA0MS0 1
mueble mueble NCMS000 0.334943
con con SPS00 1
puerta puerta NCFS000 1
, , Fc 1
no no RN 0.998134
se se P00CN000 0.465639
ve ver VMIP3S0 0.988189
, , Fc 1
entonces entonces RG 0.982684
para para SPS00 0.999103
que que CS 0.437483
pagar pagar VMN0000 1
mas mas NCMS000 0.300463
por por SPS00 1
el el DA0MS0 1
color color NCMS000 1
si si CS 0.99954
no no RN 0.998134
se se P00CN000 0.465639
va ir VMIP3S0 1
a a SPS00 0.996023
ver ver VMN0000 0.997382
. . Fp 1

cuando cuando CS 0.985595
acaba acabar VMIP3S0 0.992958
el el DA0MS0 1
proceso proceso NCMS000 0.994505
pita pita NCFS000 0.547181
, , Fc 1
para para SPS00 0.999103
que que PR0CN000 0.562517
la lo PP3FSA00 0.0277039
oigas oír VMSP2S0 1
. . Fp 1

cuando cuando CS 0.985595
eliges elegir VMIP2S0 1
un uno DI0MS0 0.987295
programa programa NCMS000 0.953488
, , Fc 1
ella él PP3FS000 1
te te PP2CS000 0.940613
pone poner VMIP3S0 1
el el DA0MS0 1
calor calor NCMS000 1
y y CC 0.999962
demas demas NCMP000 0.785341
opciones opción NCFP000 1
, , Fc 1
pero pero CC 0.999764
tu tu DP2CSS 1
lo lo PP3CNA00 0.271177
puedes poder VMIP2S0 1
modificar modificar VMN0000 1
, , Fc 1
incluso incluso RG 0.996383
si si CS 0.99954
tienes tener VMIP2S0 1
un uno DI0MS0 0.987295
programa programa NCMS000 0.953488
hecho hacer VMP00SM 0.620968
por por SPS00 1
ti ti PP2CSO00 1
que que PR0CN000 0.562517
te te PP2CS000 0.940613
guste gustar VMSP3S0 0.618927
lo lo PP3CNA00 0.271177
puedes poder VMIP2S0 1
guardar guardar VMN0000 1
para para SPS00 0.999103
elegir elegir VMN0000 1
lo lo PP3CNA00 0.5 lo PP3MSA00 0.5
siempre siempre RG 1
, , Fc 1
aunque aunque CC 1
yo yo PP1CSN00 1
estas este DD0FP0 0.97043
cosas cosa NCFP000 0.997312
tan tan RG 1
sofisticadas sofisticar VMP00PF 1
, , Fc 1
las lo PP3FPA00 0.0289466
use usar VMSP3S0 0.618718
un uno DI0MS0 0.987295
dia dia NCFS000 1
y y CC 0.999962
luego luego RG 0.996689
ya ya RG 0.999395
no no RN 0.998134
, , Fc 1
porque porque CS 1
se se P00CN000 0.465639
me me PP1CS000 0.89124
olvida olvidar VMIP3S0 0.994752
como como CS 0.999289
hacer hacer VMN0000 1
lo lo PP3CNA00 0.5 lo PP3MSA00 0.5
, , Fc 1
jeje jeje NCMS000 0.833445
. . Fp 1

no no RN 0.998134
es ser VSIP3S0 1
que que CS 0.437483
sea ser VSSP1S0 0.487293
ruidosa ruidoso AQ0FS0 1
, , Fc 1
no no RN 0.998134
lo lo PP3CNA00 0.271177
es ser VSIP3S0 1
, , Fc 1
unicamente unicamente RG 1
hace hacer VMIP3S0 1
ruido ruido NCMS000 1
unos uno DI0MP0 0.883987
segundos segundo NCMP000 0.865854
, , Fc 1
cuando cuando CS 0.985595
esta este DD0FS0 0.986779
a a SPS00 1
el el DA0MS0 1
final final NCFS000 0.427762
, , Fc 1
pero pero CC 0.999764
eso ese PD0NS000 1
va ir VMIP3S0 1
genial genial AQ0CS0 1
porque porque CS 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
sale salir VMIP3S0 0.814516
bastante bastante RG 0.776824
seca seco AQ0FS0 0.45723
. . Fp 1

es ser VSIP3S0 1
de de SPS00 0.999984
clasificacion clasificacion NCMS000 0.0665581
energetica energetica AQ0FS0 0.595788
triple triple AQ0CS0 0.65727
A._Número a._número NP00000 1
de de SPS00 0.999984
programas programa NCMP000 0.97619
: : Fd 1
Algodón algodón NP00000 0.288237
, , Fc 1
eco eco NCMS000 1
algodón algodón NCMS000 1
, , Fc 1
sintético sintético AQ0MS0 1
, , Fc 1
ropa ropa NCFS000 1
de de SPS00 0.999984
cama cama NCFS000 1
, , Fc 1
voluminosos voluminoso AQ0MP0 1
, , Fc 1
lana lana NCFS000 1
, , Fc 1
lavado lavar VMP00SM 0.691725
a a SPS00 0.996023
mano mano NCFS000 0.992095
, , Fc 1
rápido rápido AQ0MS0 0.980769
30 30 Z 1
' ' Fe 1
, , Fc 1
delicados delicado AQ0MP0 1
, , Fc 1
aclarado aclarar VMP00SM 0.637221
y y CC 0.999962
centrifugado centrifugar VMP00SM 0.691748
Número número NP00000 1
de de SPS00 0.999984
opciones opción NCFP000 1
especiales especial AQ0CP0 1
: : Fd 1
Prelavado prelavado NP00000 0.196875
, , Fc 1
aclarado aclarado NCMS000 0.362779
intensivo intensivo AQ0MS0 1
, , Fc 1
aclarado aclarado NCMS000 0.362779
caliente caliente AQ0CS0 0.944444
, , Fc 1
bio bio AQ0CN0 1
, , Fc 1
antiarrugas antiarruga AQ0CP0 1
, , Fc 1
cuidado cuidado NCMS000 0.763441
infantil infantil AQ0CS0 1
, , Fc 1
cuidado cuidado NCMS000 0.763441
extracaliente extracaliente AQ0CS0 1
, , Fc 1
bloqueo bloqueo NCMS000 0.831653
infantil infantil AQ0CS0 1
. . Fp 1

Potencia potencia NCFS000 0.959459
máxima máximo AQ0FS0 0.65727
( ( Fpa 1
rpm r.p.m. NCFN000 1
) ) Fpt 1
1000 1000 Z 1
Sistema sistema NP00000 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
inteligente inteligente AQ0CS0 0.983871
Sí_Producto sí_producto NP00000 1
( ( Fpa 1
Ancho ancho NP00000 0.184242
x x NCFS000 1
Alto alto NP00000 1
x x NCFS000 1
Fondo fondo NP00000 1
) ) Fpt 1
600 600 Z 1
x x NCFS000 1
842 842 Z 1
x x NCFS000 1
550 550 Z 1
el el DA0MS0 1
precio precio NCMS000 0.97619
esta este DD0FS0 0.986779
bien bien NCMS000 0.0960854
, , Fc 1
me me PP1CS000 0.89124
costo costo NCMS000 1
460 460 Z 1
euros euro NCMP000 1
. . Fp 1

se se P00CN000 0.465639
la lo PP3FSA00 0.0277039
recomende recomende VMIP3S0 0.977775
a a SPS00 0.996023
mis mi DP1CPS 0.995868
cuñados cuñado NCMP000 1
, , Fc 1
y y CC 0.999962
ellos ellos PP3MP000 1
tambien tambien RG 0.911112
se se P00CN000 0.465639
la lo PP3FSA00 0.0277039
compraron comprar VMIS3P0 1
, , Fc 1
exactamente exactamente RG 1
la el DA0FS0 0.972269
misma mismo AQ0FS0 0.924757
, , Fc 1
pero pero CC 0.999764
la el DA0FS0 0.972269
de de SPS00 0.999984
ahora ahora RG 1
, , Fc 1
hace hacer VMIP3S0 1
musiquitas musiquitas NCFP000 0.5001
cuando cuando CS 0.985595
eliges elegir VMIP2S0 1
un uno DI0MS0 0.987295
programa programa NCMS000 0.953488
, , Fc 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
es ser VSIP3S0 1
divertido divertir VMP00SM 1
pero pero CC 0.999764
como como CS 0.999289
la lo PP3FSA00 0.0277039
pongas poner VMSP2S0 1
mientras mientras CS 0.889785
alguien alguien PI0CS000 1
de de SPS00 0.999984
tu tu DP2CSS 1
casa casa NCFS000 0.979058
este este PD0MS000 0.0314658
durmiendo dormir VMG0000 1
, , Fc 1
igual igual RG 0.264249
le le PP3CSD00 1
despierta despertar VMIP3S0 0.201546
. . Fp 1

una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
altamente altamente RG 1
recomendable recomendable AQ0CS0 1
. . Fp 1

